Station,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
28511230,454318,5883976,80,84,88,74,55,71,56,68,92,74,91,87,92,96,82,84,63,48,44,54,85
28511231,445563,5886865,41,37,34,55,48,18,26,96,17,35,55,26,11,96,45,65,62,75,61,54,71
28519035,453643,5883479,60,83,69,96,79,68,64,88,72,63,76,70,69,98,90,86,82,74,78,96,87
29470010,401262,5879186,70,52,81,67,71,49,65,70,45,66,64,78,89,56,73,57,76,84,94,95,83
29472968,401242,5873099,67,51,92,77,58,60,51,60,89,71,82,60,35,41,90,81,77,72,60,88,78
29472981,406525,5874265,59,40,77,81,56,32,27,24,17,20,35,47,51,49,39,90,41,20,73,57,81
29481334,419006,5880303,87,67,75,85,66,65,43,29,13,46,36,23,59,58,97,47,71,81,51,85,89
29483281,410651,5876294,68,44,88,84,55,38,25,31,61,38,88,39,63,52,38,23,90,70,58,49,79
29484282,410901,5879992,89,94,88,73,68,64,82,40,59,41,92,79,75,93,12,80,66,81,67,84,79
29490617,430903,5873838,54,59,67,96,89,61,37,33,64,44,59,59,48,98,38,33,24,49,34,45,46
29490626,428881,5876912,82,81,73,85,87,55,71,56,72,82,70,84,95,61,64,96,91,98,89,71,93
29490630,430377,5878861,83,80,97,93,85,82,87,80,77,70,64,75,93,79,90,94,98,97,67,85,91
29490632,430026,5878151,72,92,95,92,82,90,77,84,96,84,92,72,87,66,79,89,78,87,85,68,97
29490634,430332,5877857,91,95,38,94,26,73,79,86,35,29,36,39,60,48,35,54,45,42,85,98,94
29491338,432092,5877061,30,17,41,69,50,51,21,27,43,61,41,67,76,71,87,96,28,58,78,86,86
29499501,424067,5875569,93,25,36,28,90,92,96,37,33,91,86,60,50,41,35,18,48,40,97,94,77
29499502,425339,5875708,92,95,89,91,89,67,73,82,64,62,80,86,75,54,62,76,71,78,86,72,79
29499503,427472,5876044,83,67,75,68,62,74,70,44,42,43,50,59,81,19,89,74,49,57,75,40,36
29501404,438416,5878488,36,69,28,18,78,91,77,66,56,44,21,69,78,53,44,61,87,77,86,71,77
29510149,453738,5883060,45,51,83,64,52,55,81,67,76,73,46,65,51,66,74,87,42,57,66,47,54
29510657,454664,5882621,36,30,28,41,47,60,28,33,40,65,48,54,28,49,63,45,53,50,68,39,68
29510999,451296,5880359,75,60,82,71,80,70,84,63,76,86,54,46,58,83,89,75,67,68,87,79,81
29519002,453599,5881505,25,20,53,27,21,29,26,42,38,83,44,30,30,40,52,23,31,54,24,40,59
29519017,450075,5877008,61,63,75,61,56,60,59,85,80,45,67,66,75,74,84,85,59,74,43,69,90
29519021,448221,5878345,67,55,63,81,79,58,52,49,53,53,39,46,61,68,89,86,60,92,71,72,68
29519023,448206,5876176,14,5,98,14,98,10,85,80,87,32,19,65,87,85,93,70,79,66,48,22,83
29519026,452754,5882710,75,62,36,95,88,72,85,82,53,80,84,80,90,85,78,87,45,87,84,74,85
29519042,448899,5879751,91,84,63,76,55,73,77,82,60,64,36,95,80,65,68,55,85,24,38,86,71
30491504,431585,5870144,27,78,59,53,25,33,33,55,86,42,37,74,69,88,69,52,67,43,90,68,83
30491505,431887,5868812,50,45,40,81,68,60,62,49,73,59,61,46,53,54,80,64,66,68,56,47,86
30491509,431861,5868978,49,54,42,68,63,53,55,45,35,75,64,54,85,96,78,91,74,76,78,64,96
30491510,431833,5869142,51,66,63,79,97,77,79,65,72,84,49,68,95,77,79,84,97,86,84,78,60
30491512,431825,5869162,47,48,94,76,80,51,62,48,63,54,47,59,73,49,63,62,68,87,95,94,96
30491513,431697,5869391,54,61,87,83,81,53,65,72,69,63,66,91,98,93,79,72,67,47,50,45,33
30509090,440554,5869972,35,60,66,26,53,14,50,28,29,23,42,82,55,80,52,37,47,61,62,53,33
30509093,439496,5871861,48,52,93,22,21,97,94,87,89,25,50,36,34,28,93,93,89,97,94,81,83
