Station,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
27521086,462499,5900508,36,24,53,45,40,56,38,29,25,40,28,44,24,58,25,38,42,47,65,77,74.69212,75.30487,75.76582,76.103615,76.349884,76.52891
28470002,405262,5884194,41,45,66,37,31,31,28,65,62,47,96,37,96,80,48,36,29,85,62,33,83.379745,82.64905,81.93949,81.29893,80.75142,80.30014
28480021,419932,5884688,92,73,91,62,37,64,67,77,92,58,82,79,64,73,81,29,42,51,84,13,82.409,81.73741,81.60462,81.59184,81.58809,81.645874
28481093,417176,5892231,84,76,92,68,46,71,81,67,84,59,81,68,71,82,54,37,52,61,72,29,84.966446,93.510864,84.48915,84.47922,84.47133,89.46402
28491008,431989,5890879,24,27,67,34,24,25,17,94,57,73,74,39,96,87,83,75,79,56,17,86,82.43262,82.54107,82.702805,82.445885,82.40494,82.39001
28491016,430831,5889441,98,86,56,86,76,86,93,96,46,84,95,93,77,23,63,72,78,65,84,49,86.71588,85.926735,85.89054,85.881516,85.87346,85.86615
28500636,434085,5885839,85,81,90,80,89,94,66,96,91,98,90,88,96,76,62,65,76,87,84,83,82.887794,82.87574,82.86554,82.85687,82.84953,82.89332
28500652,442521,5892757,55,62,81,65,46,52,63,52,56,52,43,51,54,57,52,62,63,74,84,77,82.95806,82.91889,82.900764,82.897896,82.896835,82.89598
28501105,439924,5890747,37,49,48,37,44,35,30,38,47,43,52,41,36,42,51,57,62,25,56,63,82.406204,69.92789,69.734665,69.55943,69.66948,69.86521
28501107,437607,5886574,44,64,77,58,37,65,32,33,56,46,72,51,29,72,56,63,72,57,46,68,82.0999,82.19041,82.159515,82.200226,82.61542,83.07735
28501108,439534,5891185,39,49,46,43,28,32,42,39,51,43,67,46,32,69,63,58,75,53,51,58,83.05595,82.863976,82.91484,83.043976,83.1106,83.17157
28501111,436965,5889947,52,48,42,28,46,43,36,33,46,41,53,48,38,62,62,52,36,71,53,64,76.05531,79.36225,79.218094,79.098404,79.00018,78.91893
28510981,454707,5893961,71,81,76,68,77,65,58,76,65,71,55,66,60,84,70,57,56,60,71,74,85.03455,85.36832,85.04977,85.1505,85.18791,85.19954
28510982,452822,5891823,91,86,95,73,89,92,86,98,77,79,94,83,77,82,86,70,77,97,84,72,83.165955,83.144104,83.14351,83.14314,83.142845,83.14258
28511201,452725,5885502,58,68,66,51,58,76,81,43,48,71,84,71,83,73,90,86,80,76,83,92,82.64194,82.64186,82.64177,82.64166,82.64159,82.641495
28511202,452644,5885337,67,89,68,64,46,56,59,30,49,75,56,70,73,77,97,81,68,84,78,81,82.84854,82.939304,82.848335,82.84831,82.84829,82.84827
28511203,452681,5884987,40,54,72,63,27,58,26,55,31,52,41,51,74,40,39,31,87,62,68,48,85.45953,85.43123,85.47928,80.563385,79.84834,79.97659
28511204,453650,5885828,51,62,82,52,77,75,76,75,70,58,85,69,54,40,42,97,97,68,77,67,84.00609,83.809325,83.80925,83.8089,83.808624,83.808395
28511207,454916,5886129,51,86,64,48,44,43,41,47,55,57,88,90,72,75,77,64,53,50,97,67,83.64786,83.645065,83.644646,83.6445,83.64438,83.64428
28511210,455104,5886829,43,52,65,44,48,47,41,46,92,63,59,49,38,48,81,64,52,37,33,31,82.01439,74.22114,72.69824,72.62953,72.58635,72.57977
28511229,444186,5889026,61,66,66,44,50,67,87,36,61,56,76,81,56,61,49,97,26,27,57,50,72.44451,72.8362,72.862724,72.87015,72.877914,72.925446
28511230,454318,5883976,62,68,82,69,62,59,80,66,68,93,88,73,80,74,85,44,43,56,76,52,85.76819,85.76776,85.76913,85.76884,85.76877,85.76866
28511231,445563,5886865,38,29,47,65,43,16,13,93,16,56,43,17,94,76,52,74,47,66,57,89,82.56007,82.7126,83.05547,83.100464,83.22977,83.313
28519035,453643,5883479,56,71,94,62,57,74,76,52,77,97,56,91,94,46,81,80,84,95,82,70,84.27582,83.96277,83.525085,83.50215,83.481094,83.462296
29470010,401262,5879186,62,76,78,54,61,57,71,66,53,80,69,83,84,61,68,63,78,78,83,80,82.98871,82.98081,82.97336,82.966354,82.959755,82.95356
29472968,401242,5873099,49,97,81,65,72,51,44,48,67,60,66,54,25,97,88,73,82,64,67,87,82.83814,82.83196,82.82753,82.82361,82.81995,82.81651
29472981,406525,5874265,48,36,82,60,42,28,23,17,19,30,40,50,49,36,38,51,52,84,69,40,85.11581,82.49123,83.88131,84.55347,84.90321,85.10661
29481334,419006,5880303,81,69,92,75,63,44,41,15,32,40,32,45,61,71,50,57,59,50,40,81,81.74022,81.68701,81.591576,81.49665,81.41027,81.33414
29483281,410651,5876294,51,66,86,62,44,32,16,56,49,67,18,64,48,50,35,98,75,64,47,82,84.0527,83.96971,85.281334,84.71164,84.35021,89.14183
29484282,410901,5879992,78,72,93,81,74,78,95,47,46,37,88,70,81,13,95,78,79,78,68,78,85.28674,83.48265,83.52576,83.53114,83.341,83.00696
29490617,430903,5873838,30,28,18,66,90,56,84,49,69,55,61,47,29,21,37,23,35,41,46,98,62.44622,64.24324,64.61773,64.80298,64.90655,70.03738
29490626,428881,5876912,66,68,88,79,57,79,57,79,57,80,62,53,79,82,73,78,77,87,96,93,83.13202,83.04825,82.71269,82.70545,82.69589,82.687126
